artikel_id,bezeichnung,einzelpreis,waerung
1,Laptop Dell XPS 15,"$1,499.99",EUR
2,USB-C Kabel 2m,$12.99,EUR
3,Wireless Maus Logitech MX Master,$89.99,EUR
4,Tastatur mechanisch RGB,$129.99,EUR
5,Monitor 27 Zoll 4K,$449.99,EUR
6,USB-Stick 64GB,$15.99,EUR
7,Externe SSD 1TB,$99.99,EUR
8,Webcam Full HD,$79.99,EUR
9,Headset mit Mikrofon,$59.99,EUR
10,HDMI Kabel 3m,$8.99,EUR
11,Laptop-Tasche 15 Zoll,$34.99,EUR
12,Dockingstation USB-C,$189.99,EUR
13,Grafiktablett Wacom,$299.99,EUR
14,Powerbank 20000mAh,$39.99,EUR
15,Smartphone Samsung Galaxy,$799.99,EUR
16,Tablet iPad 10 Zoll,$449.99,EUR
17,Drucker Multifunktion,$249.99,EUR
18,Netzwerkkabel Cat6 5m,$9.99,EUR
19,Router WLAN AX,$149.99,EUR
20,Bluetooth Lautsprecher,$69.99,EUR
21,Laptop-Ständer ergonomisch,$29.99,EUR
22,Mauspad XXL,$19.99,EUR
23,Kabelorganizer Set,$14.99,EUR
24,LED Schreibtischlampe,$39.99,EUR
25,Ergonomischer Bürostuhl,$299.99,EUR
26,Mikrofon USB Streaming,$119.99,EUR
27,Verlängerungskabel 5m,$17.99,EUR
28,Notebook HP ProBook,$899.99,EUR
29,Apple Magic Keyboard,$109.99,EUR
30,Bildschirmreiniger Set,$12.99,EUR
